env,role,name,email,phone,used
dev,PLAYER,gixk,gixk@mailinator.com,+201070229612,true
dev,PLAYER,wyuj,wyuj@mailinator.com,+201070774767,true
dev,PLAYER,vkhi,vkhi@mailinator.com,+201082849114
dev,PLAYER,oyxt,oyxt@mailinator.com,+201006495850
dev,PLAYER,qpzb,qpzb@mailinator.com,+201045278745
qa,PLAYER,wvzc,wvzc@mailinator.com,+201092690403,true
qa,PLAYER,gkxi,gkxi@mailinator.com,+201048834136,true
qa,PLAYER,iwtg,iwtg@mailinator.com,+201056552272,true
qa,PLAYER,bvam,bvam@mailinator.com,+201015525092,true
qa,PLAYER,okme,okme@mailinator.com,+201079873358
dev,PLAYER,zziw,zziw@mailinator.com,+201004948095
dev,PLAYER,qojr,qojr@mailinator.com,+201074344341
dev,PLAYER,cpav,cpav@mailinator.com,+201073667509
dev,PLAYER,almd,almd@mailinator.com,+201019556094
dev,PLAYER,zqec,zqec@mailinator.com,+201063170646
dev,PLAYER,glip,glip@mailinator.com,+201095100761
dev,PLAYER,gsdv,gsdv@mailinator.com,+201016474198
dev,PLAYER,gsdv,gsdv@mailinator.com,+201016474198
dev,PLAYER,gsdv,gsdv@mailinator.com,+201016474198
dev,PLAYER,gsdv,gsdv@mailinator.com,+201016474198
dev,PLAYER,gsdv,gsdv@mailinator.com,+201016474198
dev,PLAYER,gsdv,gsdv@mailinator.com,+201016474198
dev,PLAYER,gsdv,gsdv@mailinator.com,+201016474198
dev,PLAYER,gsdv,gsdv@mailinator.com,+201016474198
dev,PLAYER,gsdv,gsdv@mailinator.com,+201016474198
dev,PLAYER,gsdv,gsdv@mailinator.com,+201016474198
dev,PLAYER,djyw,djyw@mailinator.com,+201073800176
dev,PLAYER,ftmi,ftmi@mailinator.com,+201029955891
dev,PLAYER,ahec,ahec@mailinator.com,+201066513558
dev,PLAYER,nuag,nuag@mailinator.com,+201097673784
dev,PLAYER,hbss,hbss@mailinator.com,+201064233651
dev,PLAYER,cqke,cqke@mailinator.com,+201000793398
dev,PLAYER,bive,bive@mailinator.com,+201069204324
local,PLAYER,sfck,sfck@mailinator.com,+201017301134
dev,PLAYER,sibx,sibx@mailinator.com,+201070470758
dev,PLAYER,itmt,itmt@mailinator.com,+201020144839
dev,PLAYER,gcom,gcom@mailinator.com,+201027314758
qa,CLUB_ADMIN,slkw,slkw@mailinator.com,+201059795683,true
dev,PLAYER,omig,omig@mailinator.com,+201073164456
local,PLAYER,cdhc,cdhc@mailinator.com,+201047851886
